id,title,context,question,answers
62310,SberChallenge,"В протерозойских отложениях органические остатки встречаются намного чаще, чем в архейских. Они представлены известковыми выделениями сине-зелёных водорослей, ходами червей, остатками кишечнополостных. Кроме известковых водорослей, к числу древнейших растительных остатков относятся скопления графито-углистого вещества, образовавшегося в результате разложения Corycium enigmaticum. В кремнистых сланцах железорудной формации Канады найдены нитевидные водоросли, грибные нити и формы, близкие современным кокколитофоридам. В железистых кварцитах Северной Америки и Сибири обнаружены железистые продукты жизнедеятельности бактерий.",чем представлены органические остатки?,"{'text': array(['известковыми выделениями сине-зелёных водорослей'], dtype=object), 'answer_start': array([109], dtype=int32)}"
28101,SberChallenge,"В протерозойских отложениях органические остатки встречаются намного чаще, чем в архейских. Они представлены известковыми выделениями сине-зелёных водорослей, ходами червей, остатками кишечнополостных. Кроме известковых водорослей, к числу древнейших растительных остатков относятся скопления графито-углистого вещества, образовавшегося в результате разложения Corycium enigmaticum. В кремнистых сланцах железорудной формации Канады найдены нитевидные водоросли, грибные нити и формы, близкие современным кокколитофоридам. В железистых кварцитах Северной Америки и Сибири обнаружены железистые продукты жизнедеятельности бактерий.",что найдено в кремнистых сланцах железорудной формации Канады?,"{'text': array(['нитевидные водоросли, грибные нити'], dtype=object), 'answer_start': array([438], dtype=int32)}"
48834,SberChallenge,"В протерозойских отложениях органические остатки встречаются намного чаще, чем в архейских. Они представлены известковыми выделениями сине-зелёных водорослей, ходами червей, остатками кишечнополостных. Кроме известковых водорослей, к числу древнейших растительных остатков относятся скопления графито-углистого вещества, образовавшегося в результате разложения Corycium enigmaticum. В кремнистых сланцах железорудной формации Канады найдены нитевидные водоросли, грибные нити и формы, близкие современным кокколитофоридам. В железистых кварцитах Северной Америки и Сибири обнаружены железистые продукты жизнедеятельности бактерий.",что встречается в протерозойских отложениях?,"{'text': array(['органические остатки'], dtype=object), 'answer_start': array([28], dtype=int32)}"
83056,SberChallenge,"В протерозойских отложениях органические остатки встречаются намного чаще, чем в архейских. Они представлены известковыми выделениями сине-зелёных водорослей, ходами червей, остатками кишечнополостных. Кроме известковых водорослей, к числу древнейших растительных остатков относятся скопления графито-углистого вещества, образовавшегося в результате разложения Corycium enigmaticum. В кремнистых сланцах железорудной формации Канады найдены нитевидные водоросли, грибные нити и формы, близкие современным кокколитофоридам. В железистых кварцитах Северной Америки и Сибири обнаружены железистые продукты жизнедеятельности бактерий.",что относится к числу древнейших растительных остатков?,"{'text': array(['скопления графито-углистого вещества'], dtype=object), 'answer_start': array([283], dtype=int32)}"
5816,SberChallenge,"В протерозойских отложениях органические остатки встречаются намного чаще, чем в архейских. Они представлены известковыми выделениями сине-зелёных водорослей, ходами червей, остатками кишечнополостных. Кроме известковых водорослей, к числу древнейших растительных остатков относятся скопления графито-углистого вещества, образовавшегося в результате разложения Corycium enigmaticum. В кремнистых сланцах железорудной формации Канады найдены нитевидные водоросли, грибные нити и формы, близкие современным кокколитофоридам. В железистых кварцитах Северной Америки и Сибири обнаружены железистые продукты жизнедеятельности бактерий.",как образовалось графито-углистое вещество?,"{'text': array(['в результате разложения Corycium enigmaticum'], dtype=object), 'answer_start': array([337], dtype=int32)}"
9945,SberChallenge,"Кишечник млекопитающего подразделяется на тонкий и толстый (к последнему относятся слепая, ободочная и прямая кишка). Бо́льшая часть пищи переваривается в тонком кишечнике, через стенки которого основные питательные вещества всасываются в кровь. Остатки непереваренной пищи поступают в толстый кишечник, где они подвергаются бродильным процессам с участием эндосимбионтов — бактерий, грибков и простейших. Для видов, кормящихся грубой растительной пищей, особо важную роль в этих процессах играет слепая кишка, слабо развитая или вообще отсутствующая у плотоядных видов; стенки слепой кишки большинства млекопитающих содержат большое количество лимфатической ткани, из-за чего она играет ещё и важную роль в иммунной системе. В ободочной кишке каловые массы обезвоживаются, скапливаются в прямой кишке и затем удаляются из организма через анальное отверстие.",Куда поступают остатки непереваренной пищи?,"{'text': array(['в толстый кишечник'], dtype=object), 'answer_start': array([284], dtype=int32)}"
77672,SberChallenge,"Кишечник млекопитающего подразделяется на тонкий и толстый (к последнему относятся слепая, ободочная и прямая кишка). Бо́льшая часть пищи переваривается в тонком кишечнике, через стенки которого основные питательные вещества всасываются в кровь. Остатки непереваренной пищи поступают в толстый кишечник, где они подвергаются бродильным процессам с участием эндосимбионтов — бактерий, грибков и простейших. Для видов, кормящихся грубой растительной пищей, особо важную роль в этих процессах играет слепая кишка, слабо развитая или вообще отсутствующая у плотоядных видов; стенки слепой кишки большинства млекопитающих содержат большое количество лимфатической ткани, из-за чего она играет ещё и важную роль в иммунной системе. В ободочной кишке каловые массы обезвоживаются, скапливаются в прямой кишке и затем удаляются из организма через анальное отверстие.",Каким процессам подвергается непереваренная пища в толстом кишечнике?,"{'text': array(['бродильным процессам с участием эндосимбионтов'], dtype=object), 'answer_start': array([325], dtype=int32)}"
21730,SberChallenge,"Кишечник млекопитающего подразделяется на тонкий и толстый (к последнему относятся слепая, ободочная и прямая кишка). Бо́льшая часть пищи переваривается в тонком кишечнике, через стенки которого основные питательные вещества всасываются в кровь. Остатки непереваренной пищи поступают в толстый кишечник, где они подвергаются бродильным процессам с участием эндосимбионтов — бактерий, грибков и простейших. Для видов, кормящихся грубой растительной пищей, особо важную роль в этих процессах играет слепая кишка, слабо развитая или вообще отсутствующая у плотоядных видов; стенки слепой кишки большинства млекопитающих содержат большое количество лимфатической ткани, из-за чего она играет ещё и важную роль в иммунной системе. В ободочной кишке каловые массы обезвоживаются, скапливаются в прямой кишке и затем удаляются из организма через анальное отверстие.",В каком кишечнике переваривается основная часть пищи?,"{'text': array(['в тонком кишечнике'], dtype=object), 'answer_start': array([153], dtype=int32)}"
23312,SberChallenge,"Кишечник млекопитающего подразделяется на тонкий и толстый (к последнему относятся слепая, ободочная и прямая кишка). Бо́льшая часть пищи переваривается в тонком кишечнике, через стенки которого основные питательные вещества всасываются в кровь. Остатки непереваренной пищи поступают в толстый кишечник, где они подвергаются бродильным процессам с участием эндосимбионтов — бактерий, грибков и простейших. Для видов, кормящихся грубой растительной пищей, особо важную роль в этих процессах играет слепая кишка, слабо развитая или вообще отсутствующая у плотоядных видов; стенки слепой кишки большинства млекопитающих содержат большое количество лимфатической ткани, из-за чего она играет ещё и важную роль в иммунной системе. В ободочной кишке каловые массы обезвоживаются, скапливаются в прямой кишке и затем удаляются из организма через анальное отверстие.",Какие виды анатомических сегментов выделяют в кишечнике у млекопитающих?,"{'text': array(['тонкий и толстый'], dtype=object), 'answer_start': array([42], dtype=int32)}"
57220,SberChallenge,"Кишечник млекопитающего подразделяется на тонкий и толстый (к последнему относятся слепая, ободочная и прямая кишка). Бо́льшая часть пищи переваривается в тонком кишечнике, через стенки которого основные питательные вещества всасываются в кровь. Остатки непереваренной пищи поступают в толстый кишечник, где они подвергаются бродильным процессам с участием эндосимбионтов — бактерий, грибков и простейших. Для видов, кормящихся грубой растительной пищей, особо важную роль в этих процессах играет слепая кишка, слабо развитая или вообще отсутствующая у плотоядных видов; стенки слепой кишки большинства млекопитающих содержат большое количество лимфатической ткани, из-за чего она играет ещё и важную роль в иммунной системе. В ободочной кишке каловые массы обезвоживаются, скапливаются в прямой кишке и затем удаляются из организма через анальное отверстие.",Для каких видов млекопитающих особо важна слепая кишка?,"{'text': array(['Для видов, кормящихся грубой растительной пищей'], dtype=object), 'answer_start': array([406], dtype=int32)}"
